1,59
2,63
3,69
4,75
5,86
6,74
7,65
8,74
9,102
10,1
11,62
12,66
13,68
14,70
15,65
16,75
17,63
18,66
19,70
20,72
21,126
22,120
23,63
24,66
25,62
26,62
27,60
